city,growth,latitude,longitude,population,state
Arlington Heights,-0.6,42.0883603,-87.98062650000001,75994,Illinois
Worcester,5.8,42.2625932,-71.8022934,182544,Massachusetts
Charlotte,39.1,35.2270869,-80.8431267,792862,North Carolina
Jupiter,46.2,26.9342246,-80.0942087,58298,Florida
National City,10.1,32.6781085,-117.0991967,59834,California
Chino Hills,13.6,33.9898188,-117.7325848,76572,California
Thousand Oaks,9.5,34.1705609,-118.8375937,128731,California
Deltona,23.1,28.9005446,-81.26367379999999,86290,Florida
Methuen,10.3,42.7262016,-71.1908924,48514,Massachusetts
Yorba Linda,13.4,33.8886259,-117.8131125,67032,California
Manteca,42.7,37.7974273,-121.2160526,71948,California
Hialeah,3.2,25.8575963,-80.2781057,233394,Florida
Rochester,-4.1,43.16103,-77.6109219,210358,New York
Brooklyn Park,16,45.0941315,-93.3563405,78373,Minnesota
North Little Rock,9,34.769536,-92.2670941,66075,Arkansas
Midland,0.9,43.6155825,-84.2472116,42181,Michigan
Beaumont,3.7,30.080174,-94.1265562,117796,Texas
Fayetteville,32.9,36.0625795,-94.1574263,78960,Arkansas
Naperville,12,41.7508391,-88.1535352,144864,Illinois
Milpitas,11,37.4323341,-121.8995741,69783,California
Pompano Beach,4,26.2378597,-80.1247667,104410,Florida
Medford,17.1,42.3265152,-122.8755949,77677,Oregon
New Bedford,1.2,41.6362152,-70.93420499999999,95078,Massachusetts
Lenexa,24.6,38.9536174,-94.73357089999999,50344,Kansas
Great Falls,3.9,47.4941836,-111.2833449,59351,Montana
Santa Maria,30.9,34.9530337,-120.4357191,102216,California
Woodbury,39.8,44.9238552,-92.9593797,65656,Minnesota
Hutchinson,0.1,38.0608445,-97.92977429999999,41889,Kansas
Miramar,74.7,25.9860762,-80.30356019999999,130288,Florida
Casper,19.9,42.866632,-106.313081,59628,Wyoming
Hillsboro,36.4,45.5228939,-122.989827,97368,Oregon
Monterey Park,1.5,34.0625106,-118.1228476,61085,California
Carmel,60.4,39.978371,-86.1180435,85927,Indiana
Roswell,15.2,34.0232431,-84.3615555,94034,Georgia
Blue Springs,9.9,39.0169509,-94.2816148,53294,Missouri
South San Francisco,9.1,37.654656,-122.4077498,66174,California
Compton,4.5,33.8958492,-118.2200712,97877,California
Danville,3.7,37.8215929,-121.9999606,43341,California
Pearland,117.2,29.5635666,-95.2860474,100065,Texas
Pacifica,0.5,37.6138253,-122.4869194,38606,California
Boynton Beach,17.3,26.5317866,-80.0905465,71097,Florida
Rapid City,17.9,44.0805434,-103.2310149,70812,South Dakota
Somerville,1.6,42.3875968,-71.0994968,78804,Massachusetts
San Ramon,65.8,37.7799273,-121.9780153,74513,California
Tulare,33.3,36.2077288,-119.3473379,61170,California
Passaic,4.3,40.8567662,-74.1284764,70868,New Jersey
Keizer,14.4,44.9901194,-123.0262077,37064,Oregon
Hickory,7,35.7344538,-81.3444573,40361,North Carolina
Mount Prospect,-2.5,42.0664167,-87.9372908,54771,Illinois
Atlantic City,-2.2,39.3642834,-74.4229266,39551,New Jersey
Pueblo,5.9,38.2544472,-104.6091409,108249,Colorado
Suffolk,33.5,36.7282054,-76.5835621,85728,Virginia
Coachella,88.4,33.6803003,-116.173894,43092,California
Gilbert,96,33.3528264,-111.789027,229972,Arizona
Montebello,2,34.0165053,-118.1137535,63495,California
Lafayette,14.5,40.4167022,-86.87528689999999,70373,Indiana
Hoboken,35.8,40.7439905,-74.0323626,52575,New Jersey
Carson City,2.9,39.1637984,-119.7674034,54080,Nevada
Washington,13,38.9071923,-77.0368707,646449,District of Columbia
Springfield,1.1,42.1014831,-72.589811,153703,Massachusetts
Pawtucket,-2.5,41.878711,-71.38255579999999,71172,Rhode Island
North Las Vegas,92.2,36.1988592,-115.1175013,226877,Nevada
Malden,7.4,42.4250964,-71.066163,60509,Massachusetts
Chesterfield,1.9,38.6631083,-90.5770675,47749,Missouri
Fresno,18.3,36.7468422,-119.7725868,509924,California
Edina,4.1,44.8896866,-93.3499489,49376,Minnesota
Albuquerque,23.5,35.0853336,-106.6055534,556495,New Mexico
Palm Beach Gardens,39.6,26.8233946,-80.13865469999999,50699,Florida
Huntersville,92.9,35.410694,-80.84285040000002,50458,North Carolina
Burlington,6.1,44.4758825,-73.21207199999999,42284,Vermont
Rancho Palos Verdes,2.9,33.7444613,-118.3870173,42448,California
Owensboro,7.7,37.7719074,-87.1111676,58416,Kentucky
Burleson,85.3,32.5420821,-97.3208492,40714,Texas
Sayreville,9.6,40.45940210000001,-74.360846,44412,New Jersey
Bowie,8.6,39.0067768,-76.77913649999999,56759,Maryland
Indio,66,33.7205771,-116.2155619,83539,California
Oakley,47.7,37.9974219,-121.7124536,38194,California
Lake Charles,3,30.2265949,-93.2173758,74024,Louisiana
Delray Beach,6.1,26.4614625,-80.0728201,64072,Florida
Cedar Rapids,5.4,41.9778795,-91.6656232,128429,Iowa
Rowlett,28.6,32.9029017,-96.56388,58043,Texas
Boise City,9.5,43.6187102,-116.2146068,214237,Idaho
Athens-Clarke County,19,33.9519347,-83.357567,119980,Georgia
Concord,2.9,37.9779776,-122.0310733,125880,California
Wilmington,-1.6,39.7390721,-75.5397878,71525,Delaware
Davenport,3.9,41.5236437,-90.5776367,102157,Iowa
Missoula,19.7,46.87871759999999,-113.996586,69122,Montana
St. George,53.1,37.0965278,-113.5684164,76817,Utah
Apple Valley,29.9,34.5008311,-117.1858759,70924,California
Clovis,21.3,34.4047987,-103.2052272,39508,New Mexico
Flint,-20,43.0125274,-83.6874562,99763,Michigan
Sumter,1.3,33.9204354,-80.3414693,41190,South Carolina
North Lauderdale,10.8,26.217305,-80.2258811,42757,Florida
Biloxi,-11.5,30.3960318,-88.88530779999999,44820,Mississippi
Lancaster,4.5,40.0378755,-76.3055144,59325,Pennsylvania
Fontana,38.3,34.0922335,-117.435048,203003,California
Coral Gables,16.1,25.72149,-80.2683838,49631,Florida
Norwalk,5.6,41.11774399999999,-73.4081575,87776,Connecticut
Valdosta,22.3,30.8327022,-83.2784851,56481,Georgia
Lakewood,2.1,33.8536269,-118.1339563,81121,California
San Francisco,7.7,37.7749295,-122.4194155,837442,California
Pasadena,3.8,34.1477849,-118.1445155,139731,California
Bridgeport,5.4,41.1865478,-73.19517669999999,147216,Connecticut
Huntington Beach,3.9,33.660297,-117.9992265,197575,California
Phoenix,14,33.4483771,-112.0740373,1513367,Arizona
Portland,3.2,43.66147100000001,-70.2553259,66318,Maine
Freeport,-1.4,40.6576022,-73.58318349999999,43167,New York
Logan,14.5,41.7369803,-111.8338359,48913,Utah
Salinas,8.4,36.6777372,-121.6555013,155662,California
Wichita Falls,0.7,33.9137085,-98.4933873,104898,Texas
White Plains,8.5,41.03398620000001,-73.7629097,57866,New York
St. Charles,11.3,38.7881062,-90.4974359,67569,Missouri
Texarkana,7.4,33.425125,-94.04768820000001,37442,Texas
Olympia,12.1,47.0378741,-122.9006951,48338,Washington
Detroit,-27.1,42.331427,-83.0457538,688701,Michigan
Troy,1.5,42.7284117,-73.69178509999999,49974,New York
Everett,9.4,47.9789848,-122.2020794,105370,Washington
Battle Creek,-2.8,42.3211522,-85.17971419999999,51848,Michigan
Fairfield,12.8,38.24935809999999,-122.0399663,109320,California
Peoria,46.5,33.5805955,-112.2373779,162592,Arizona
Columbia,34,38.9517053,-92.3340724,115276,Missouri
Highland,21,34.1283442,-117.2086513,54291,California
Mission,74.5,26.2159066,-98.32529319999999,81050,Texas
Tracy,45.9,37.7396513,-121.4252227,84691,California
Westminster,3.9,33.7513419,-117.9939921,91739,California
Monroe,-6.1,32.5093109,-92.1193012,49761,Louisiana
Utica,2.2,43.100903,-75.232664,61808,New York
Beaumont,254.5,33.9294606,-116.977248,40481,California
Kalamazoo,-1.9,42.2917069,-85.5872286,75548,Michigan
Culver City,1.3,34.0211224,-118.3964665,39428,California
San Clemente,28.6,33.4269728,-117.6119925,65040,California
State College,8.7,40.7933949,-77.8600012,41757,Pennsylvania
Fitchburg,3.5,42.5834228,-71.8022955,40383,Massachusetts
Brentwood,122.3,37.931868,-121.6957863,55000,California
Ankeny,86.9,41.7317884,-93.6001278,51567,Iowa
Macon,-7.3,32.8406946,-83.6324022,89981,Georgia
Southfield,-6.7,42.4733688,-83.2218731,73006,Michigan
Burien,56.7,47.4703767,-122.3467918,49858,Washington
Harlingen,11.6,26.1906306,-97.69610259999999,65665,Texas
Summerville,62.9,33.0185039,-80.17564809999999,46074,South Carolina
Brockton,-0.3,42.0834335,-71.0183787,94089,Massachusetts
Tulsa,1.3,36.1539816,-95.99277500000001,398121,Oklahoma
Goose Creek,26.1,32.9810059,-80.03258670000001,39823,South Carolina
Burnsville,1.9,44.7677424,-93.27772259999999,61434,Minnesota
Taunton,0,41.900101,-71.0897674,56069,Massachusetts
Melbourne,5.9,28.0836269,-80.60810889999999,77508,Florida
Lancaster,33.8,34.6867846,-118.1541632,159523,California
Columbus,8.7,32.4609764,-84.9877094,202824,Georgia
Gulfport,-0.6,30.3674198,-89.0928155,71012,Mississippi
Oak Lawn,3.3,41.719978,-87.7479528,57073,Illinois
Redding,11.9,40.5865396,-122.3916754,91119,California
Fountain Valley,3,33.7091847,-117.9536697,56707,California
Brownsville,26.8,25.9017472,-97.4974838,181860,Texas
York,6.4,39.9625984,-76.727745,43935,Pennsylvania
Bedford,2.9,32.844017,-97.1430671,48592,Texas
Sammamish,44.1,47.61626829999999,-122.0355736,50169,Washington
San Buenaventura (Ventura),7.4,34.274646,-119.2290316,108817,California
Hemet,37.6,33.7475203,-116.9719684,81750,California
Berwyn,5.1,41.85058739999999,-87.7936685,56758,Illinois
Redlands,9.4,34.0555693,-117.1825381,69999,California
Wichita,9.7,37.688889,-97.336111,386552,Kansas
Murrieta,107.4,33.5539143,-117.2139232,107479,California
West Palm Beach,23.5,26.7153424,-80.0533746,102436,Florida
Carson,2.9,33.8316745,-118.281693,92599,California
Wilson,10.1,35.7212689,-77.9155395,49628,North Carolina
Manchester,2.9,42.9956397,-71.4547891,110378,New Hampshire
Antioch,16.9,38.0049214,-121.805789,107100,California
Apopka,63.9,28.6934076,-81.5322149,45587,Florida
Vancouver,14.2,45.6387281,-122.6614861,167405,Washington
Des Moines,3.9,41.6005448,-93.6091064,207510,Iowa
Woburn,4.4,42.4792618,-71.1522765,39083,Massachusetts
Oakland Park,2.7,26.1723065,-80.1319893,43286,Florida
Roy,13.3,41.1616108,-112.0263313,37733,Utah
Nampa,57.9,43.5407172,-116.5634624,86518,Idaho
Denver,16.7,39.7392358,-104.990251,649495,Colorado
Roswell,7.5,33.3942655,-104.5230242,48611,New Mexico
Mansfield,-10.1,40.75839,-82.5154471,46454,Ohio
Columbia,11.7,34.0007104,-81.0348144,133358,South Carolina
Dublin,70,37.7021521,-121.9357918,52105,California
New Brunswick,15.5,40.4862157,-74.4518188,55831,New Jersey
Bellingham,21.8,48.74908,-122.4781473,82631,Washington
Houston,11,29.7604267,-95.3698028,2195914,Texas
Rocky Mount,-3.1,35.9382103,-77.7905339,56954,North Carolina
Attleboro,4.6,41.94454409999999,-71.2856082,43886,Massachusetts
Lawrence,12.7,38.9716689,-95.2352501,90811,Kansas
South Gate,-0.8,33.954737,-118.2120161,95677,California
Cerritos,-3.6,33.8583483,-118.0647871,49707,California
O'Fallon,62.6,38.8106075,-90.69984769999999,82809,Missouri
New Haven,5.5,41.308274,-72.9278835,130660,Connecticut
Lakeland,18.3,28.0394654,-81.9498042,100710,Florida
Walnut Creek,3.5,37.9100783,-122.0651819,66900,California
Palm Desert,13.2,33.7222445,-116.3744556,50508,California
Longmont,24.4,40.1672068,-105.1019275,89919,Colorado
Hammond,-4.6,41.5833688,-87.5000412,78967,Indiana
Bloomington,16.1,39.165325,-86.52638569999999,82575,Indiana
Monrovia,0.2,34.1442616,-118.0019482,37101,California
Deerfield Beach,4.8,26.3184123,-80.09976569999999,78041,Florida
Hampton,-6.6,37.0298687,-76.34522179999999,136699,Virginia
Berkeley,13.3,37.8715926,-122.272747,116768,California
Ormond Beach,5.8,29.2858129,-81.0558894,38661,Florida
Commerce City,135.4,39.8083196,-104.9338675,49799,Colorado
Hempstead,4,40.7062128,-73.6187397,55361,New York
Springdale,57.1,36.18674420000001,-94.1288141,75229,Arkansas
Chelsea,7.3,42.3917638,-71.0328284,37670,Massachusetts
Mankato,24.7,44.1635775,-93.99939959999999,40641,Minnesota
Leesburg,66,39.1156615,-77.56360149999999,47673,Virginia
Grand Junction,30.9,39.0638705,-108.5506486,59778,Colorado
Lompoc,5.5,34.6391501,-120.4579409,43509,California
Anaheim,4.7,33.8352932,-117.9145036,345012,California
