NAME	LOCATION	STATUS	LATX	LONGX	TYPE
NW Rota-1	Mariana Is-C Pacific	Historical	14.60111111	144.7752778	Submarine volcano
Esmeralda Bank	Mariana Is-C Pacific	Fumarolic	15	145.25	Submarine volcano
Forecast Seamount	Mariana Is-C Pacific	Fumarolic	13.4	143.9166667	Submarine volcano
Seamount X	Mariana Is-C Pacific	Fumarolic	13.25	144.0166667	Submarine volcano
E-san	Hokkaido-Japan	Historical	41.80222222	141.1697222	Stratovolcano
Oshima-Oshima	Hokkaido-Japan	Historical	41.50694444	139.3711111	Stratovolcano
Komaga-take	Hokkaido-Japan	Historical	42.06083333	140.6808333	Stratovolcano
Niseko	Hokkaido-Japan	Tephrochronology	42.88333333	140.6333333	Stratovolcanoes
Yotei	Hokkaido-Japan	Tephrochronology	42.82972222	140.815	Stratovolcano
Kuttara	Hokkaido-Japan	Tephrochronology	42.48888889	141.1633333	Stratovolcanoes
Usu	Hokkaido-Japan	Historical	42.54138889	140.8427778	Stratovolcano
Rishiri	Hokkaido-Japan	Radiocarbon	45.18333333	141.25	Stratovolcano
Shikotsu	Hokkaido-Japan	Historical	42.68805556	141.3802778	Caldera
Tokachi	Hokkaido-Japan	Historical	43.41555556	142.6902778	Stratovolcanoes
Nipesotsu-Maruyama	Hokkaido-Japan	Historical	43.45333333	143.0361111	Stratovolcanoes
Shikaribetsu Group	Hokkaido-Japan	Holocene?	43.31222222	143.0955556	Lava domes
Daisetsu	Hokkaido-Japan	Tephrochronology	43.66111111	142.8580556	Stratovolcanoes
Akan	Hokkaido-Japan	Historical	43.38416667	144.0127778	Caldera
Mashu	Hokkaido-Japan	Radiocarbon	43.56972222	144.5652778	Caldera
Rausu	Hokkaido-Japan	Radiocarbon	44.07333333	145.1263889	Stratovolcano
Kutcharo	Hokkaido-Japan	Tephrochronology	43.60777778	144.4425	Caldera
Shiretoko-Iwo-zan	Hokkaido-Japan	Historical	44.13083333	145.1652778	Stratovolcano
Golovnin	Kuril Is	Historical	43.84111111	145.5086111	Caldera
Smirnov	Kuril Is	Holocene	44.41972222	146.1347222	Stratovolcano
Mendeleev	Kuril Is	Historical	43.97638889	145.7361111	Stratovolcano
Tiatia	Kuril Is	Historical	44.35083333	146.2563889	Stratovolcano
Lvinaya Past	Kuril Is	Radiocarbon	44.60833333	146.9938889	Stratovolcano
Berutarube	Kuril Is	Holocene	44.45916667	146.9363889	Stratovolcano
Atsonupuri	Kuril Is	Historical	44.805	147.135	Stratovolcano
Bogatyr Ridge	Kuril Is	Holocene	44.83305556	147.3419444	Stratovolcano
Unnamed	Kuril Is	Uncertain	45.03333333	147.2083333	Submarine volcano
Grozny Group	Kuril Is	Historical	45.02611111	147.9219444	Complex volcanoes
Baransky	Kuril Is	Historical	45.09722222	148.0241667	Stratovolcano
Golets-Tornyi Group	Kuril Is	Holocene?	45.25	148.35	Pyroclastic cones
Chirip	Kuril Is	Historical	45.33805556	147.925	Stratovolcanoes
Medvezhia	Kuril Is	Historical	45.38666667	148.8425	Somma volcano
Demon	Kuril Is	Holocene	45.5	148.85	Stratovolcano
Ivao Group	Kuril Is	Holocene	45.76666667	149.6833333	Cinder cones
Rudakov	Kuril Is	Holocene?	45.88333333	149.8333333	Stratovolcano
Tri Sestry	Kuril Is	Holocene?	45.93333333	149.9166667	Stratovolcano
