CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
854883643,09/29/2016,17:00:00,,,09/29/2016,364,OTHER STATE LAWS (NON PENAL LA,809,TAX LAW,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,88,INSIDE,CANDY STORE,,,990273,190597,40.689827673,-73.978283094,"(40.689827673, -73.978283094)"
711287445,09/29/2016,21:52:00,09/30/2016,07:30:00,09/30/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,INSIDE,RESIDENCE - APT. HOUSE,,,996839,177968,40.655156996,-73.954630326,"(40.655156996, -73.954630326)"
583564476,09/29/2016,21:50:00,09/29/2016,22:00:00,09/30/2016,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47,,STREET,,,1023166,259089,40.877736196,-73.859277507,"(40.877736196, -73.859277507)"
818554048,09/29/2016,21:45:00,09/30/2016,04:00:00,09/30/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,FRONT OF,STREET,,,996889,239161,40.823116479,-73.954335162,"(40.823116479, -73.954335162)"
304124700,09/29/2016,21:30:00,09/30/2016,11:00:00,09/30/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,102,INSIDE,RESIDENCE-HOUSE,,,1026874,193316,40.697190105,-73.846286405,"(40.697190105, -73.846286405)"
916958427,09/29/2016,21:30:00,09/30/2016,07:52:00,09/30/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,111,INSIDE,STREET,,,1044312,211646,40.74740021,-73.783236346,"(40.74740021, -73.783236346)"
638262700,09/29/2016,21:12:00,09/29/2016,21:13:00,09/30/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,HEALTH & HOSP CORP,BROOKLYN,71,INSIDE,HOSPITAL,,,999171,178774,40.657365668,-73.94622395,"(40.657365668, -73.94622395)"
457238316,09/29/2016,21:10:00,09/30/2016,05:50:00,09/30/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,FRONT OF,STREET,,,1011430,253871,40.863458331,-73.901737119,"(40.863458331, -73.901737119)"
302871449,09/29/2016,21:05:00,09/30/2016,00:02:00,09/30/2016,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,,,992535,168751,40.62986338,-73.970153381,"(40.62986338, -73.970153381)"
332758167,09/29/2016,21:00:00,,,09/30/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,OPPOSITE OF,RESIDENCE - APT. HOUSE,,SMITH,984657,197499,40.708774095,-73.998533426,"(40.708774095, -73.998533426)"
369420552,09/29/2016,21:00:00,09/29/2016,22:45:00,09/30/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,FRONT OF,STREET,,,983493,150579,40.579988779,-74.002726618,"(40.579988779, -74.002726618)"
359382820,09/29/2016,21:00:00,09/30/2016,01:00:00,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,104,INSIDE,RESIDENCE - APT. HOUSE,,,1009026,196835,40.706916897,-73.910638687,"(40.706916897, -73.910638687)"
277189359,09/29/2016,21:00:00,09/30/2016,08:00:00,09/30/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,22,,PARK/PLAYGROUND,CENTRAL PARK,,996048,226907,40.789483789,-73.957395333,"(40.789483789, -73.957395333)"
648873180,09/29/2016,21:00:00,09/30/2016,05:30:00,09/30/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,QUEENS,106,,TRANSIT - NYC SUBWAY,,,1031088,188794,40.684756979,-73.83112092,"(40.684756979, -73.83112092)"
486838537,09/29/2016,21:00:00,09/30/2016,06:00:00,09/30/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,104,,STREET,,,1021255,195467,40.703119371,-73.866538366,"(40.703119371, -73.866538366)"
934977189,09/29/2016,21:00:00,09/30/2016,05:40:00,09/30/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,,STREET,,,1010476,211768,40.747900148,-73.905350595,"(40.747900148, -73.905350595)"
363378559,09/29/2016,21:00:00,,,09/30/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1004850,244753,40.838449934,-73.925553911,"(40.838449934, -73.925553911)"
240655940,09/29/2016,20:57:00,09/29/2016,21:00:00,09/30/2016,109,GRAND LARCENY,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62,INSIDE,GROCERY/BODEGA,,,987909,157036,40.597711235,-73.986825645,"(40.597711235, -73.986825645)"
502778505,09/29/2016,20:56:00,09/30/2016,00:48:00,09/30/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,RESIDENCE-HOUSE,,,947349,146105,40.567631764,-74.132819494,"(40.567631764, -74.132819494)"
295042462,09/29/2016,20:54:00,,,09/30/2016,341,PETIT LARCENY,313,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,SMALL MERCHANT,,,984664,202336,40.722050505,-73.998507881,"(40.722050505, -73.998507881)"
172014957,09/29/2016,20:41:00,09/29/2016,20:45:00,09/30/2016,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62,INSIDE,CHAIN STORE,,,983955,156040,40.594978166,-74.00106367,"(40.594978166, -74.00106367)"
972457538,09/29/2016,20:40:00,09/29/2016,20:50:00,09/30/2016,116,SEX CRIMES,168,SODOMY 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,,,,,
343916740,09/29/2016,20:30:00,09/30/2016,11:30:00,09/30/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,94,FRONT OF,STREET,,,997065,206902,40.734573791,-73.953760774,"(40.734573791, -73.953760774)"
854642194,09/29/2016,20:30:00,09/29/2016,21:00:00,09/30/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,47,INSIDE,RESIDENCE - PUBLIC HOUSING,,BOSTON SECOR,1030304,261267,40.88367976,-73.833450905,"(40.88367976, -73.833450905)"
584077628,09/29/2016,20:30:00,09/29/2016,20:45:00,09/30/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,,STREET,,,996524,185859,40.676816482,-73.95575123,"(40.676816482, -73.95575123)"
659229966,09/29/2016,20:20:00,09/29/2016,20:30:00,09/30/2016,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,QUEENS,114,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1009062,215186,40.75728577,-73.910441172,"(40.75728577, -73.910441172)"
713677962,09/29/2016,20:00:00,09/29/2016,20:10:00,09/30/2016,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,SAINT MARY'S PARK,1009349,236356,40.815390931,-73.909326134,"(40.815390931, -73.909326134)"
